,CIVIL,TARs
138,20190317,"PM I07171+4739S, PM I08268+5210E, PM I13496+0054E, V* VV Lyn, HD  45105, G 164-65, BD+22 2086, PM I09080+4510S, BD+22 2086B, PM I14595+4527, PM J06589+2842, HR 5567, PM I11110+3026W, HR 6744, PM I09305+1035, BD+35 2436, HD 130686, PM I08268+5210W, PM I13310+3626N, HR 3348, BD+36 1611B, L 1258-40, PM I07171+4739N, PM I11022+0944W, HD 237611, G 46-2, PM I12114+5325S, G 236-2, BD+24 2733, PM I14595+4526, Hen 3-1258, PM I12057+5354, PM I13310+3626S, G 236-1, PM I09305+1036, HD 127304, LP  138-36, BD+36 1611, BD+68   946, PM I11110+3026E, PM I11022+0944E, BD+24 2733B, HD 50841B, PM I15211+2534, L 1258-39, PM J12057+5355, PM I09080+4510N, HD 50841A, HD 148968, HD 147379, PM I12516+2530E, PM I15210+2533, BD+10 1857, PM I12520+2527, PM J06587+2843, PM I06564+4004, PM I12114+5325N"
139,20190211,"BD+02  1729, EM* LkCa   15, V* IQ Tau, V* V830 Tau, V* V827 Tau, V* V1069 Tau, HD  25152, V* AA Tau, HD 53205, V* CI Tau, V* DK Tau, HD  25175, L 1551-51"
140,20160714,"HD 197139, HD 170680, HD 194193, *  29 Vul"
141,20180501,"[GY92] 204, HD  95534, HIP 69357, iota, HD 143248, NAME Luhman 16, gamma++, [EC92] 53, HD  80950, HD 180782, HD 155177, HD 152071, lambda-+"
142,20160712,"K2-33, HD 163336"
143,20170130,"2MASS J06405810+4944304, 2MASS J16164221+5839432, HR 4705, 2MASS J10521423+0555098, 2MASS J10030191+3433197, 2MASS J15163731+5355457, HD 99966, HD  37887, 2MASS J11005043+1204108, 2MASS J12090660+4736053, 2MASS J09591880+4350256, 2MASS J16041322+2331386, 2MASS J15164073+3910486, V* V1987 Ori, 2MASS J09002359+2150054, 2MASS J05424808-0840082, 2MASS J09535523+2056460, 2MASS J07464203+5726534, 2MASS J12185939+1107338, 2MASS J14311348+7526423"
144,20180526,"HD  95534, HD 192510, NAME AX J163904-4642, HD 177406, LP  642-48, HD 159495, beta+, YLW 15, HD 159312, SIPS J1753-6559, 2MASS J16180868-2547126, gamma+, VSSG 26, BKLT J162821-242155, RX J2137.6+0137, G 273-130, HD 154025, HD 145127"
145,20210310,"V* V479 Car, HD  74562"
146,20181219,"BD+02  1729, V* CQ UMa, HBC 684, k Tau, 85 Gem, GSC 03798-01207, HR 3348, HD  65158, ITG 17, V* YY Gem, HD 53205, * k Tau, V* DK Tau, HR 2584, 86 UMa, IRAS S04414+2506, HR 2314, 2MASS J04285053+1844361"
147,20141229,"Cl* NGC 188 PKM 4581, *   7 Tri, V* GU Psc, * tet Lep, * ups UMa, HD 225019, HD  88609, *  26 UMa"
148,20210104,"HD 126587, HD  15646, HD 124683, CD-46   644"
149,20210217,"2MASS J14260433-6219024, V* PX Vir, WRAY 16-206, 2MASS J05335981-0221325, HD 113457, HD 117651, HD 144399, AX J1600.9-5142, 2MASS J14283733-6257279, HD 109448, HD 123523, 2MASS J14291063-6317181, HD  30573, HD  49855, HD 145412, 2MASS J14275833-6147534, HD  45039, 2MASS J05061292+0439272, HD 139084, HD 151966, HD  37141"
150,20160225,"2MASS J08504984+1948364, HD  23258, HD 159415, V* V1283 Tau, *  10 Boo, *  85 Gem, * k Tau, K2-33, [MDM2001] CFHT-BD-Tau 4, Cl* NGC 2632   HSHJ     430"
151,20201029,"HD 210712, SCR J2142-6412"
152,20160327,"* mu. Ser, 2MASS J14554090-0527512, HD 107550, BD+20  2720, *  85 Gem, HD 143187, HD 100906, HD  43583, G 202-45, 2MASS J11375862+2951200, *  10 Boo, *  39 UMa, 2MASS J14001927+1333396, BD+44  2051B, * p05 Leo, HD 159414, V* IS Vir, HD  93928, K2-33, HD 107655, V* FG UMa, V* HU Vir, * ksi UMa B, HD 112304, V* EE UMa, *  33 LMi, BD+20  1790, V* BM CVn"
153,20150730,"Cl* NGC 6940 MMU 28, BD+02   348, Cl* NGC 6940 MMU 30, Ross  248, VB 10, RIK 210, HD 145127, GSS 35, HD 192538, HD 155379, V* EV Lac, Cl* NGC 6940 MMU 60, * c Aql, HD  25175, SS 433, HD  19600, V* DS Tau, HD 218639, BD-15  6290, * kap And, HD 144925"
154,20210305,"HD 137603, 2MASS J16232694-2631313, HD 143248, HD 319139, 2MASS J05361945-0629068, NAME M 8E IR, HD  39421, HD 136488, HD 159008, HD 145127, V* BT Lib"
155,20151025,"PM J20407+1954, 2MASS J08031018+2022154, * zet Aql, 2MASS J22583200+1014589, 2MASS J22060961-0723353, 2MASS J02530084+1652532, 2MASS J01031971+6221557, HD  67213, 2MASS J01112542+1526215, * omi Aql B, HD   1561, * rho Cet, HD  31743, 2MASS J01034209+4051159, *  67 Aqr, * mu. Ari, 2MASS J03000290+5506530, *  29 Vul, 2MASS J02001278-0840517, HD  25175, PM J08105-1348, PM J03395+1818, HD 213519B, PM J20112+1611, UCAC4 524-007892, PM J19169+0510, PM J21051+1435, * kap And, G 217-40, HD  43607"
156,20150527,"G 208-42, HD 192538, HD 180617, HD 105388, *  29 Vul, HD  95735, SS 433, VB 10"
157,20171231,"ATO J076.8002+24.6211, HD  23258, 2MASS J05352477-0510296, 2MASS J04322627+1827521, HD  21038, HD  21379, HD  25152, V* V1647 Ori, [EES2009] Per-emb 48, HD  33023, 2MASS J05424808-0840082"
158,20180111,"V* V1115 Tau, V* T Ori, * 24 Tau, HR 1558, [MGM2012] 762, [MGM2012] 387, [MGM2012] 633, HD 14632, V* GM Aur"
159,20201225,"HD  25752, HD  87986, IRAS 10460-5811, TIC 250196734, THA 35-II-3"
160,20210216,"HD  36381, HD 138334, IRAS 16086-5255, TOI-1227, UCAC2   7201471, L  547-159, IRAS 15066-5532, HD  45797, BD+04  2466, HD 139129, HD  49855, HD 109448, TYC 8534-1243-1, HD 100417, HD 118335"
161,20201112,"HD 182110, HD  38921, 2MASS J05120636-2949540, HD   8130, EROS-MP J0032-4405"
162,20190128,"V* GI Tau, BD+02  1729, EM* LkCa   15, V* V827 Tau, *  85 Gem, V* AA Tau, HD  25175, V* V830 Tau, V* CI Tau, L 1551-51"
163,20201125,"HD 196236, SCR J2142-6412"
164,20170508,"HD  71906, HD 147932, HD 105388, HD 145127, PM J08507+3505"
165,20190424,"V* V866 Sco A, HD 155379, BD-00  2719, HD 132072, HD 144925"
166,20150105,"SU Aur, HD  31069, HD  25157, HD  98800, *   7 Tri, EM* LkCa   15, *  10 Boo, V* GU Psc, * tau Boo, V* DQ Tau, HD  99459, V* TW Hya, *  61 Vir, V* AA Tau, V* FY Tau, *   7 Ser, DM Tau, BD+06  2986, HD  92845, *  18 Ori, RY Tau, HD 114243, Haro 6-13"
167,20151105,"V* V1283 Tau, V* VY Ari, 2MASS J05362690-0525055, V* V830 Tau, CoKu Tau 4 A, HD  31069, V* DH Tau, HD  43583, Haro 6-32 A, V* AI Ori, V* V2579 Ori , HD  34317, * kap And, HD  25175, * k Tau, V* KU Peg, HD 184787, V* V1971 Cyg, V* DS Tau"
168,20171228,"HD  45105, Wolf  478, HD 105219B, 2MASS J05424769-0947222, G  43-43, HD 263175B, HD  79108, HD  89239, IRAS 05435-0011, HD  20911, V* V883 Ori, BD+23  2063B, [EES2009] Per-emb 64, NAME HD 96064 BC, HD  21379, HD  19844, HD  99966, G 122-46, * rho01 Cnc B, HD  82443B, HD 115404B, V* V2775 Ori, HD 111744, HD  31743, HD  71906, * p05 Leo, LSPM J0902+0602, HD  19600, *  20 LMi B, BD+42  2230B, [EES2009] Per-emb 50"
169,20150922,"V* V2149 Ori, DH Tau A, [R78b] 256, HD 211211, *  68 Cas, * iot And, V* AI Ori, HD  39953, * rho Cep, V* HL Tau, * k Tau, V* V830 Tau, K2-25, HD  25175, * i01 Aqr, VY Tau, V* DS Tau"
170,20181025,"KOI-6448, KOI-6893, HD 7215, KOI-7044, HR 1234, KOI-7081, IRAS 04016+2610, [DCO2008] T-Cyg1-00246, [DCO2008] T-Lyr1-17236, V* FL Lyr, RAFGL 5123, KOI-6541, Uranus, [CAR83] PP 13S, HD 184195, HD 184787"
171,20190318,"HR 3651, HD 142666, V* QS Vir, HD 143006, 85 Vir, HR 5567, V* V866 Sco, HD 99966, DoAr 33, HD 159008, V* CU Cnc"
172,20160618,"BD+27  2208, HD 168322, [GY92] 371, HD 155379, *  51 Dra, HD 142705, NTTS 162819-2423S, HD 177213, HD 116960"
173,20170209,"V* CK Cnc, HD  67213, HD 106888, Cl* NGC 188 DGV 796, HD 191940, [BLH2002] KPNO-Tau 4, *  85 Gem, G 121-42, HD  25152, BD+20  1790, *  18 Ori, * k Tau, HD 39649, *  33 LMi, Cl* NGC 188 DGV 686"
174,20180627,"WL 3, HD  95534, IRAS 18270-0153, HD 155379, HD 163792, 2MASS J16180868-2547126, [GY92] 465, HD 145127, 2MASS J162620.82-242839.4"
175,20181028,"HR 8342, L 1551-51, k Tau, [OMN2000] LS1, HR 1234, HR 6744, V* V1195 Tau, BD+14  3887, HR 9019, * ups Aur, HR 7098, HD  28975, V* GW Ori, V* V892 Tau"
176,20210526,"LP  563-38, HD 142930"
177,20150617,"* d Sco, Elia 2-15, HD 171149, *  50 Lib, [SVS76] Ser 9"
178,20150425,"*  86 UMa, GSS 39, HD  71906, HD  97371, BD+44  2051B, EM* SR 10, ISO-Oph 195, WL 10, NTTS 155808-2219, VSSG  19, Cl* NGC 2682 SAND 1063, Cl* NGC 2682 SAND 1237, BD+44  2051, BD+36  2322, HD 145188, EM* SR 1, HD  97334, HD  79108, BD+36  2322B, [GY92] 33"
179,20210124,"HD 147009, HD 143248, HD 140475, HD  60929, HD 309751, Haro 1-16, HD 137119, CD-42  3328, HD  86772"
180,20201212,"TIC 78450017, HD  46679"
181,20201101,"HD   1777, WOH G 526, HD  77656, WOH G 604, 2MASS J05160982-6859064, HD  52493, NGTS-7B, HD  45039, HD  98195, V* CQ Tau, HD 100546, NGTS-7Ab, HD  23410, L   98-59, HD  40624"
182,20171203,"HR 1692, HR 1482, 2MASS J19250923+3808230, V* V1320 Tau, [SCH2006b] J0439016+2336030, 2MASS J19522027+4622441, RX J0507.2+2437, V* V409 Tau, HR 1237, FV Tau/c A, HD 184787, HD 213013A, 2MASS J19013294+4411360, HR 8422, 2MASS J04293606+2435556"
183,20190415,"G 202-48 , HD  71906, HD 172728, 2MASS J15525906+2948485, 2MASS J09083803+5032088, HD 131951, HD 171623, * tau08 Ser, NAME Barnard's star, *   7 Ser, 2MASS J15031961+2525196, BD+16 2708B"
184,20190123,"V* BT Ori, L 1551-51, 2MASS J05352762-0509337, HOPS 370 South, HD  31069, 2MASS J05352984-0626583, HD  21379, * k Tau, V* V830 Tau, HD  22401, HD  31004, Haro 6-13"
185,20141126,"HD  23258, IRAS 04239+2436, HD 214019, V* DH Tau, Cl* IC 348 LRL 31, HD  25152, *  18 Ori, HD  25175, V* CI Tau, Cl* IC 348 LRL 21, Cl* IC 348 LRL 37, V* IP Tau, V* DS Tau"
186,20170501,"VSSG  21, Haro 1-8, BD+44  2051B, DoAr 24, WLY 2-11, *  81 UMa, FBS 1404-055, *  85 Gem, LSPM J1000+3155, Ross  845, Haro 1-16, WSB 40, HD 349726, BD+20  1790, * y Vir, HD  89239, G 194-18, WLY 2-9, HD 182761, HD 145127"
187,20151109,"V* DS Tau, DH Tau A, HD  50931, *  19 Cam, V* V1283 Tau, V* V350 Lac, V* IM Peg, V* V830 Tau, [HJS91] 665, * rho Cet, V* V510 Per, V* V2579 Ori , HD 209932, * kap And, * k Tau, V* EL Eri, HD  25175, HD 184195, CoKu FG Aql G2, * lam And"
188,20180918,"HD 150437, HBC 684, BD-05  5432, HD 209932, HD 28099, gam Aqr, GPM 338.952203+33.955624, *  51 Peg, HD 145127, 2MASX J23235831+1645299"
189,20150701,"RAFGL 5113, HD 205314, [GY92] 112, HD 228700, HD 151787, MSX6C G060.5750-00.1861, HD 147384, Wolf 1130, HD 332937, HD 189920, WL  8, SSTGLMC G050.2830-00.390, WSB 22, WSB 33, [CLO2013] G077.4622+01.7600-1"
190,20161207,"V* SU Aur, HR 1137, HD  26257, ceres 02UT, HD 282630, V* V1309 Tau, V* RW Aur, V* V827 Tau, V* UY Aur, V* GM Tau, L 1551-51, *  39 Tau, HD 283759, HD  29526, V* V1023 Tau, CoKu HP Tau G3, V* CI Tau, V* V830 Tau, V* BW Ari, HD  19600, HD 127304, HD  26736, LP  497-33, HD  25152, V* DI Tau, 2MASS J13004666+1222325, * k Tau, ceres 04UT"
191,20200204,"HD  50931, 2MASS J08312987+2024374, HD  99627, HD 107411, V* V1177 Cen, HD 145127, HD  95534, TWA 40, * eta Mus, TIC 269408869, CD-57  3107, HD 110737, TIC 162585282, 2MASS J06022756-0119007, HE 1523-1155, UCAC4 530-048345, HD  45357, HD  47257, HD 106797, V* R Mon, *   9 Cha"
192,20141206,"*   9 Cet, HD 218639, HD 220339, V* BR Psc"
193,20141207,"HD  23258, 2MASS J10204406+0814234, IRAS 04385+2550, V* V1076 Tau, RX J0507.2+2437, 2MASS J09510459+3558098, V* V409 Tau, HD  89239, *  18 Ori, [SS94] V410 X-ray 1, Ross  905"
194,20161017,"2MASS J04043984+2158215, 2MASS J23025250+4338157, EM* LkHA  332, 2MASS J20414744+4938482, 2MASS J04043936+2158186, 2MASS J22502051+5136265, V* V827 Tau, [DCO2008] T-Cyg1-12664, V* V1067 Tau A, L 1551-51, V* V1023 Tau, [DCO2008] T-Lyr0-08070, V* CI Tau, V* V830 Tau, 2MASS J04034930+2610520, HD 174567, V* CM Dra, HD 228448, 2MASS J22541111+2527562, HD  25152, * k Tau, V* V679 Tau"
195,20190413,"HR 1692, HR 4041, 2MASS J09083803+5032088, HE 1429-0551, HE 1305+0007, b Vir"
196,20181115,"HD  36408, HD 43607, HD 26512, [MGM2012] 378, [MGM2012] 525, NGC  2264   108, HR 598, HD 245906, HR 3255, EM* LkHA  208, V* HK Ori, HR 2584, HD 245185, HD 73687"
197,20190324,"2MASS J08312987+2024374, 85 Gem, HD 284154, DoAr 25, 2MASS J04051277+2007489, V* V798 Her, NGC  2506  3204, HD 143187, HD  76037B, V* V866 Sco, HD 145127, HR 1237, V* CU Cnc, HD 127304, EM* SR    4, NGC  2506  2212, HD 73687, HD 144925"
198,20150430,"*  86 UMa, HBC 650, *  36 UMa B, * p05 Leo, HD 142666, V* BY Boo, OH  34.26  +0.15, * c Aql, * lam UMa, HD 145188, HD  99966, HD 148968, Wolf  359"
199,20170901,"HR 1692, V962 Per A, V962 Per B, UCAC4 545-007339, HR 1237, [SS94] V410 X-ray 1, K2-136"
200,20150103,"* mu. Ser, HD 286363, *  30 Mon, HG 7-15, HD  79108, HD 285482, HD 286572, V* V989 Tau, HD  39881, * p05 Leo, * psi Ser, HD  78660, HD  75302, V* V401 Hya, HD  88072, HD  25175, HD  78534, BD+07   499, HD 285690, HD  42807, HD  42477, *  18 Ori"
201,20210523,"BD-13 4194, HD 182985, IRAS 17441-2910, IRAS 16124-5110, HD 159312, HD 142705, HD 145412, 2MASS J19300396-2939322"
202,20160330,"2MASS J16264643-2412000, HD  60275, BD+44  2051B, HBC 254 B, EM* SR    9, HD 152071, HD 107655, *  85 Vir"
203,20161013,"HR  7098, HR  2584, V* V836 Tau, HD 189733, V* V383 Lac, EM* LkHA  332, IP Tau, EM* LkCa   15, HD  65158, FT Tau, [RRS2008] 167-317, HR  1237, FO Tau A, PM J00088+2050, HD 285778, HR  1578, V* V1115 Tau, LSR J1835+3259 , *  29 Vul, WK81 1, BD+20  1790, HR  8837, HD 284149, HD 184787, V* GW Ori"
204,20190411,"RAFGL 5113, HD  79210, k Tau, HD  79211, HD  76037B, IRAS 04010+5118, HR 2893, HR 3348"
205,20150806,"HD 192538, HD 142883, * gam Aqr, BD+02   348, RIK 28, HD  21379, HD 145188, BD-15  6290, IRAS 16245-2423, Cl* NGC 6940 MMU 139"
206,20161007,"HD 172404, pluto 03UT"
207,20180604,"HD  95534, IRAS 18270-0153, HD 210419, BBRCG 60, SIPS J2255-5713, BKLT J162715-245137, [EC92] 53, WSB 60, WSB 67, HD 180782, YLW 45, DENIS J161630.6-251220, HD 145127"
208,20171123,"V* IW Tau, BD+02  1729, HD  31411, 18 Ori, V* UY Aur, HD  25152, * k Tau, V* DK Tau, HD 65158, L 1551-51"
209,20150608,"Haro 1-14c, *  10 Boo, HD  91702, HD 144432, Haro 1-14, HD 142883, *  81 UMa, HD 155379, V* V866 Sco, BD+06  2986, HD 131951, BD+36  2322, HD 145188, *  39 UMa, V* V2131 Oph, HD  95735, BD+36  2322B, HD  89744, 2MASS J16225336-2333101"
210,20170830,"2MASS J19500511+4958454, 2MASS J18564462+4732017, HR 6744, Wolf 1130, HR  6744, HD 184195, HD 184787"
211,20210506,"HD 100503, HD 100330"
212,20170928,"[HJS91] 4872, RX J0425.3+2618 SW, V* HN Tau, V* V827 Tau, V* V1023 Tau, V* DI Tau, V* FO Tau, * k Tau, V* DK Tau, V* HV Tau, UX Tau B, Haro 6-28, L 1551-51"
213,20170709,"* rho Oph C, *  24 Oph, HD 182110, UCAC4 354-076909, 2MASS J19150990-1636266, HD 169754, 2MASS J16171898-2437186, *  67 Aqr, HD 138813, UCAC4 312-085792, * gam Aqr, HD 145188, UScoCTIO   5, RIK 229, TRAPPIST-1, HD 182678, HD 144548, DENIS J161630.6-251220, HD 144925"
214,20190420,"KOI-3546, * p05 Leo, TOI-561c, KOI-7081, KOI-6360, HR 3986, TOI-560.01, TOI-620.01, HR 7384, HR 2584, TOI-522.01, HD 73687, HD 65102"
215,20160705,"Kepler-539, HD 143006, HD 124683, NAME EM* SR 20W, HD 195549, HD 184787"
216,20210314,"CD-62   657, HD 132302, LS 3693, HD 156123, WRAY 15-1297, OGLE BLG-LPV-45437, WR  77aa, CD-49 11404, HD 166833, V* V1249 Cen, 2MASS J12271665-6239142, HD 117651, BMB 106, HD 159008, WRAY 16-136, HD 138334, HD  74562, HD 106797, V* V479 Car, WR  77n, HD 150071, HD 106922, IRAS 14429-4539, HD 151966"
217,20180403,"HD 102458, HD 109573, HD  94741, CD-36  7429A"
218,20161118,"HR 8342, HR 7734, IRAS 06412-0105, V* V2493 Cyg, HR  1237, kap And, HR 1558, V* AA Tau, IRAS 04191+1523, 2MASS J22464980+4420030, HD 199217"
219,20180925,"LP 9-266, HD 145127 , LSPM J2043+5509, HD 170768, BD+46  3471, HD 150437 , V* BO Cep, Europa, Titan, V* FL Lyr, [DCO2008] T-Cyg1-00246, 2MASS J19211305+5143025, HD 214019, G 215-30, EM* LkHA  257, EM* AS  505, EM* LkHA  350"
220,20150123,"HD  87141, HD  95735, [BLH2002] KPNO-Tau 13, V* HQ Tau, HD  89239, NAME IRAS 04114+2757G, IRAS 06412-0105, V* RW Aur, *  46 UMa, *  39 UMa, HD  53205, V* V892 Tau, EM* LkHA  358, *  47 UMa, V* T Tau, HD  87822, 2MASS J04202606+2804089, HD  25175, V* V807 Tau, * alf Ori, * eta Leo, *  24 Tau, 2MASS J06593158-0405277, * k Tau, HD  45137, * gam Com, V* DD Tau"
221,20171101,"HD 219485, KOI-6893, KOI-1120, V* CM Dra, LP   54-19, [DCO2008] T-Cyg1-01385, 1SWASP J230808.34+333803.9, HD 207636, HD 219290, UCAC3 231-9376, HD 184787"
222,20210209,"HD  37781, HD 143488, HD 147009, HD 140475, HD 159312, TYC 8534-1243-1, HD 139084, HD 144925"
223,20151122,"* 136 Tau, V* R Lep, V* S Ori, HD 105388, HD  45380, HD  34317, *  10 Lep, V* V582 Aur"
224,20201130,"LHA 115-N  54, HD   1777, 2MASS J05381396-6907477, HD  28667, HD  46190, HD  40624"
225,20181125,"BD+37 450, HR 3651, Cl* Trumpler 5 K 3-1378, HD 283641, HR 1237, V* V1110 Tau, G 130-6, HD 221294, CoKu HP Tau G2, BD+02  1729, HD  76037B, HR 8358, HR 2584, 7 Tri, b Vir, PM J12069+0548, V* V892 Tau, V* V1098 Tau, *   3 Psc, k Tau, * nu. Vir, HD 213013A, G 190-27, G 172-1, kap And, HD 99966, BD+44  2051, HD  95735, gam Aqr"
226,20151121,"HD  50931, HD  23258, BD+05  1668, * lam Cep, VB 10, * ksi Cyg, HD 192538, *  15 Mon, HD 228779, HD  21038, HD 208606, *  61 Cyg B, *  27 Tau, V* FZ Cnc, HD  61887, HD 205314, HD 165029, HD  21483, HD 202314, *  14 Per, *  93 Her, * gam Gem, HD  48434"
227,20180701,"HD 177406, [NGM2010] S3, [NGM2010] S5, HD 176425, HD 216009, GSC 07396-00759, HD 180782, [NGM2010] S11, HD 145127"
228,20210121,"HD  91078, HD 131885, CD-46  9495, HD 128726, HIP 51297, HD  10538, V* DK Cet, HD 131117, HD   9892"
229,20170413,"HD 156717, HD 159008, V* AA Tau, * k Tau"
230,20171007,"BD+02  1729, Haro 6-37, HD  26257, 2MASS J04043936+2158186, HD  31411, 2MASS J04043984+2158215, HD  29526, IRAS 04325+2402, IRAS 04248+2612, HD  25152, V* GM Tau, HD 53205, V* DK Tau, 2MASS J04053087+2151106"
231,20180507,"HD  95534, HD  99062, TWA 33, HD  60130, HD 109573B, IRAS 15066-5532, NAME Luhman 16, HD 159312, HD 103870, BD-18 4436, HD 145412, OHPN 11, HD 163761, 2MASS J08173001-6155158, CD-36  7429A"
232,20201122,"HD  48127, HD  43756, 2MASS J07092139-1029344, TIC 78450017, 2MASS J06315067+0436278"
233,20210308,"HD 113694, NAME Cha J1305-7739, UCAC2  23646111, HD 142705"
234,20151028,"2MASS J02162977+1335136, HD 283447, LP  703-44, * gam Aqr, * psi03 Aqr, 2MASS J20236441+2240265, V* V1312 Tau, * s Tau, LSPM J2326+4521, HD 221356, PM J22160+5439, 2MASS J23060482+6255343, HD 223386, 2MASS J19532695+0342088, PM J20167+5017, HD   1237, * c Aql, CoKu HP Tau G3, 2MASS J02272924+3058246, HD  19600, HD 205314, 2MASS J03472333-0158197, 2MASS J03331404+4615190, 2MASS J04021647-1521297, 2MASS J02272804+3058405, V* DI Tau, * k Tau"
235,20210422,"V* V400 Sco, HD 177406, BD+20  3603, V* V411 Sco, HD 156123, 2MASS J19533757+1847286, V* V1864 Sgr, MR  93, CD-46  9495, HD 128726, V* PV Tel, HD 182761"
236,20210218,"WR  48a, HD 113457, 2MASS J12101600-4936072, HD  99605"
237,20180917,"HR 1692, PM J23283+3319, G 175-34, HD 180681, 65 Sgr, PM J05280+4850, G 203-47, PM I22000+0105, kap And, HD 18571, gam Aqr, 7 Tri, PM I02081+0018, PM I01345+2102"
238,20141116,"*   7 Tri, * 136 Tau, BD+21  1974, * tet Lep, *  30 Mon, * rho Cet, *  18 Ori, * k Tau, NGC  2392, NAME NGC 2264 IRS 1, NGC  1142, V* DG Tau"
239,20171224,"HR 3651, HR 2315, BD+44  2051B, G  51-15, K2-22, V* V960 Mon, HD 99966, 2MASS J03331284+3121241, b Vir, HR 3348"
240,20171109,"2MASS J04560354+4313556, 2MASS J10204406+0814234, 2MASS J05405390+0854183, HR 2250, 2MASS J11432359+2518137, 2MASS J09182301+6037310, 2MASS J04140201+8215360, 2MASS J09245082+3041373, 2MASS J01533076+0147559, 2MASS J06052936+6049231, 2MASS J05062489+5247187, HR 2584, HR 76, 2MASS J08055713+0417035"
241,20160131,"HD  79108, G  51-15, *  85 Gem, BD+20  1790, *  18 Ori, * k Tau, V* YY Gem, * mu. Leo, HD 284149, V* DM Tau, HD  43583"
242,20180621,"alpha+, HD  95534, HIP 113238, 2MASS J16171898-2437186, HD 155379, *  11 Peg, 2MASS J15572391-2051453, PM J23261+1700, HD 159312, V* DK Cet, YLW 10B, Wolf 1062, * mu. For, HD 190285, VSSG 5, G  24-16, [GY92] 352, YLW 16A, HD 145127, [GY92] 33"
243,20181229,HD 53205
244,20171028,"V* DL Tau, V* HK Tau, V* DK Tau, V* BP Tau, V* GI Tau, CoKu HP Tau G2, BD+02  1729, HD  26257, EM* LkCa   15, V* V1309 Tau, V* V827 Tau, HD  21379, RAFGL 5123, HD  63714, L 1551-51, HD  31743, NAME L 1642-2, V* V1076 Tau, V* AB Aur, V* V1023 Tau, V* HL Tau, V* BW Ari, V* V830 Tau, HD  25175, HD  19600, V* CI Tau, V* GK Tau, V* DE Tau, HD  26736, IRAS F04192+2647, HD  25152, * k Tau"
245,20160704,"EM* StHA  169, HD 141569, *  50 Lib, Kepler-539, HD 192538, HD 155379, RAFGL 2591, NAME EM* SR 20W, HD 152071"
246,20171226,"2MASS J06574447-0108192, HR 598, HR 9019, NGC  5053     4, HR 1234, NGC  5053     3, V* PS Gem, V* GM Tau, HR 2584, V* DZ UMa, 2MASS J04320329+2528078, k Tau, 10 Boo, IRAS 06297+1021, 2MASS J04221332+1934392, HR 2315, V* V960 Mon, V* AX Per, HD 99966, HD 53205, RSG 2, [BCG93] 12"
247,20201202,"HD  56980, CPD-57  1131, HD  45039, Cl* NGC 2070    SMB      68, HD  44405, HD  40624"
248,20210428,"BPS CS 29498-0043, HD 201725, HD 175104"
249,20210524,"BD-13 4194, TOI-1827.01, HD 145788, * rho Vir"
250,20160619,"2MASS J15371615+4343016, EM* StHA  169, 2MASS J19473738+4721543, HD 192538, HD 155379, 2MASS J14231899+050079, * eps Cyg, RAFGL 2591, NAME EM* SR 20W, HD 195549, HD 205314, *   7 Ser"
251,20181230,"* k Tau, HD  45137, V* V830 Tau"
252,20210127,"HD 109134, V* VV Mus, HD 162520, HD  71972, HD 144399, THA 15-33, 2MASS J05241914-1601153 26'N, HD 115679, 2MASS J05241914-1601153, V* PX Vir, TWA 36, HD  59629, 2MASS J17410280-4642218, HD 101523, TIC 296184440, HD 104805, HD 106797, HD 104467"
253,20181023,"HD 23258, HD  28343, HD 45105, HD 216899, G  99-49, HD 45137, LP  424-4, * 85 Gem, HD 210501, Wolf  926, G 193-27, HD 205314"
254,20150928,"2MASS J04144739+2803055, 2MASS J23495365+2427493, UCAC4 469-115243, 2MASS J00482590+2745303, *  18 Sco, [BHS98] MHO 5, HD   7215, * k Tau, [BHS98] MHO 7, HD  45137, HD 182761"
255,20151024,"K2-89, HD 219134, PM J05463+0112, PM J08105-1348, HD  27616, UCAC4 524-007892, 2MASS J04141730-0906545, 2MASS J05045462-1415337, * pi.01 Ori, HD   8610B, *  14 Mon, * c And, HD 223386, HD  29573, 2MASS J04412079-1947356"
256,20160616,"2MASS J19003002-0044401, *  86 UMa, NTTS 162814-2427, HD 153393, * c Aql, HD 155379, 2MASS J14583617+3031183, HD 129846, 2MASS J19012483-0020322, NAME EM* SR 20W, HD 199090, HD 145127, V* BN Mic"
257,20160629,"[GY92] 204, Cl* NGC 6838 JS 21, V* R CrB, Cl* NGC 6121 LEE 2406, HD 112127, HD 165029, Cl* NGC 6838 JS 46, HD 112304, IC 4997, HD 120602, Cl* NGC 6838 JS 131, *  63 Vir, HD 148293, HD 182761, Cl* NGC 6121 LEE 4511, HD 152071, V* EQ Cas, * gam CrB"
258,20170706,"* rho Oph C, 2MASS J19150990-1636266, HD 182110, RIK 28, RIK 12, HD 145188, RIK 229, TRAPPIST-1, HD 144548, HD 152071, V* V2394 Oph, HD 145127"
259,20161115,"HD   5071, HR 1237, V* HQ Tau, V* GI Tau, CoKu HP Tau G2, HD  18571, EM* LkCa   15, 18 Ori, IRAS 04370+2559, ceres 06UT, BD-07  5988, HD  41708, V* V906 Tau, *  39 Tau, HD 285778, pallas 02UT, k Tau, ceres 05UT, V* T Tau, V* AB Aur, V* GN Tau, V* V807 Tau, V* DR Tau, V* GK Tau, V* GM Aur, V* IW Tau, triton 03UT, V* GH Tau, V* IT Tau, GG Tau A (Aa + Ab), GG Tau Ba+Bb"
260,20201209,"HD  75357, TYC  221-66-1, HD  98671"
